uuid,current_minute,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_attacks,away_attacks,home_dangerous_attacks,away_dangerous_attacks,home_corners,away_corners,home_off_target,away_off_target,home_on_target,away_on_target,home_possession,away_possession,final_delta
2f9dd904-8d9d-4aa0-a9d9-4e0f3e50d742,94,1,2,0,0,0,0,39,45,29,26,4,1,4,0,4,6,48,52,1
869c1420-9153-4d73-8d79-5db31a8a80a4,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,1
549e25a3-4c93-459d-b115-fb303273c78a,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,62,38,4
287b4be5-9163-4e2e-895d-d11052a97410,17,0,0,1,0,0,0,41,46,11,25,1,0,0,2,0,0,55,45,2
a607da6a-d6b2-4652-b7a5-6c8e4b61c2b8,76,1,0,1,0,0,0,69,78,21,46,1,1,0,3,4,4,45,55,0
30db4b3b-928c-4796-b58e-91022a51d38c,92,2,0,0,0,0,0,87,72,40,35,3,2,4,4,3,3,50,50,0
7bc4f141-89d1-4247-9f64-1bab11ebf291,26,1,0,0,0,0,0,11,16,12,20,1,0,0,0,1,1,43,57,1
421098ce-53a1-42b0-a8ba-899e2f56f501,94,2,2,0,0,0,0,39,32,26,16,7,3,4,2,7,4,50,50,0
2a012748-1d81-4986-93be-f79b8ffa5a60,68,0,2,0,0,0,0,27,41,20,31,2,2,1,3,1,4,36,64,2
52058429-d14d-4767-a0f2-2d1aa71badf0,25,0,1,1,1,0,0,14,25,15,11,1,1,2,2,0,1,40,60,3
28cdcd5c-7095-4d91-9987-f745e409425d,7,0,0,0,0,0,0,9,7,9,3,0,0,0,0,0,0,64,36,1
c5c32ebd-54c0-4324-9071-cbbd2073ad94,94,4,2,1,1,0,0,51,41,38,33,3,3,7,7,6,5,58,42,0
44665aee-0926-434c-92c0-e249e65be14a,79,0,2,1,1,0,0,66,71,37,22,4,4,6,6,3,4,48,52,1
b5bb07b1-5873-425d-b61f-d9cecca62a5b,41,3,0,0,0,0,0,34,27,23,10,4,0,3,1,4,0,55,45,3
545207c8-c7a0-4c1e-a126-148d775a1257,103,5,0,0,0,0,0,36,22,31,12,3,1,1,0,0,0,68,32,0
56c3d0b1-f1f8-4a89-9b4b-2bd028c77e9b,80,3,0,1,1,0,0,100,53,85,16,13,0,12,0,7,0,66,34,1
174c788e-40dc-406a-8930-9b9aeb0f0280,37,0,0,0,0,0,0,76,31,59,14,3,1,4,1,4,1,66,34,5
6f349afe-7121-46e5-8c5a-db1871a4d179,14,1,0,0,1,0,0,14,12,5,2,0,0,1,0,2,0,46,54,3
88c0e4dd-f238-471d-a2da-595000c48bfd,16,0,0,1,5,0,0,8,8,5,5,2,0,1,1,0,0,48,52,2
7bfc954d-3047-4ae7-aab7-a7fedeea3aa5,72,0,0,1,1,0,0,63,93,26,36,1,4,3,2,3,1,42,58,1
992702f9-bf14-468d-b3a9-8dc53f7100f2,71,0,7,2,1,0,0,39,84,13,84,0,8,1,10,0,13,24,76,1
1cf5b832-884f-47de-bbc2-9487545b42ad,80,0,4,1,3,0,0,58,78,23,42,2,2,3,3,1,5,47,53,1
215559bc-3271-47f1-b9d6-9a94ad9663e7,82,1,1,0,0,0,0,66,64,50,36,3,4,2,4,3,1,56,44,1
fcb66bad-786d-40b0-b683-212664f9f92c,76,1,1,0,0,0,0,72,64,45,39,2,2,3,1,3,2,52,48,1
322c60a0-3c12-49ef-965a-bebe6c1d245f,20,0,0,0,1,0,0,25,18,16,15,0,2,3,1,0,0,53,47,1
1313e7ee-d2ac-4e6f-85ba-42976aa6a2c5,66,1,0,1,0,0,0,41,40,16,26,1,6,3,6,3,6,49,51,4
d9e5710a-3ece-48d6-a737-4a43f1badc08,84,0,0,1,1,0,0,70,125,24,41,3,4,4,5,2,3,36,64,0
c69ecc25-855e-400c-93f1-8d1456f85d0f,11,0,0,0,0,0,0,7,6,6,4,1,0,1,0,0,0,59,41,1
e86dfd33-e820-41b7-81c3-ec0e5b3f9b3f,49,1,0,4,4,0,0,48,29,35,19,4,1,9,1,2,1,66,34,5
